#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1749140307587510784,0.253882,0.055797,0.291363,0.949105,0.082325,-0.301558,0.038534
1749140314859248384,0.052527,0.153041,0.353372,-0.993141,0.001357,0.000977,0.116908
1749140324833413120,0.050186,0.211896,0.308988,-0.979465,0.006288,-0.014691,0.200982
1749140330072354048,0.038766,-0.032224,0.338016,0.963028,0.010994,0.004433,0.269139
1749140334374310656,0.055014,0.228574,0.313813,-0.981194,-0.000922,-0.021824,0.191786
1749140363826895872,0.072210,0.097064,0.364986,0.938616,0.339400,-0.058388,0.019973
1749140364160809984,0.072859,0.088014,0.361055,0.906123,0.420153,-0.047548,0.012303
1749140377904899584,0.069248,0.143469,0.367600,-0.996007,-0.061721,-0.004083,0.064377
1749140378171751680,0.065968,0.126219,0.368019,-0.988281,-0.141667,-0.018439,0.053762
1749140380239913728,0.071264,0.108555,0.364291,-0.887419,-0.460540,0.019596,0.002615
1749140427107143168,0.060961,0.111920,0.394077,0.999559,0.012310,-0.006817,0.026154
1749140435412969472,-0.034996,0.159088,0.168671,-0.985881,-0.017560,-0.132339,0.101073
1749140443685667328,0.162310,0.033744,0.227303,0.974515,-0.062081,-0.207227,0.059358
1749140446320949760,0.152390,0.150752,0.217111,-0.970225,0.096713,0.190427,0.114222
1749140446787953152,0.152662,0.174375,0.218138,-0.962479,0.105544,0.199859,0.150172
1749140447221602560,0.150459,0.189871,0.215129,-0.950082,0.115217,0.194137,0.215358
1749140447788679680,0.150542,0.217040,0.210579,-0.932014,0.136570,0.187234,0.278641
1749140448022178560,0.150310,0.223081,0.206126,-0.922157,0.140918,0.176648,0.313948
1749140448522533376,0.144917,0.240359,0.197360,-0.900647,0.135020,0.143516,0.387308
1749140448655962368,0.143030,0.242894,0.195579,-0.897114,0.129312,0.138058,0.399256
1749140449690058752,0.102986,0.255518,0.190941,-0.890056,0.033459,0.058289,0.450869
1749140450023639040,0.086308,0.254102,0.185371,-0.900335,-0.014333,-0.000668,0.434961
1749140450090355200,0.082969,0.253036,0.184588,-0.898719,-0.024407,-0.013548,0.437636
1749140450123713024,0.081289,0.251526,0.184744,-0.899127,-0.029592,-0.019440,0.436253
1749140450323861504,0.073122,0.247129,0.183133,-0.899130,-0.060223,-0.051559,0.430441
1749140450490651904,0.066899,0.245923,0.182277,-0.902198,-0.072951,-0.064283,0.420219
1749140450790866176,0.054231,0.240887,0.181915,-0.910115,-0.091954,-0.095660,0.392535
1749140451691484160,0.024496,0.216393,0.182248,-0.916015,-0.109801,-0.164145,0.349166
1749140451858264320,0.023240,0.209138,0.184811,-0.920457,-0.100897,-0.163867,0.340185
1749140451924976384,0.020375,0.205940,0.185019,-0.921522,-0.101042,-0.167049,0.335680
1749140451958332416,0.019654,0.204052,0.184991,-0.922421,-0.101967,-0.169060,0.331906
1749140452091755776,0.018056,0.197177,0.186381,-0.928781,-0.099309,-0.172407,0.312697
1749140452258535424,0.014769,0.191487,0.187152,-0.935736,-0.097242,-0.179567,0.287574
1749140452325246976,0.014284,0.188468,0.188647,-0.938390,-0.091177,-0.176791,0.282589
1749140452758879744,0.003569,0.170226,0.186657,-0.953399,-0.077794,-0.156199,0.246129
1749140452892310784,0.002183,0.163649,0.186449,-0.956114,-0.078305,-0.149520,0.239497
1749140452925668352,0.002564,0.159171,0.187056,-0.958851,-0.077952,-0.146792,0.230175
1749140453325961728,0.000728,0.138037,0.183619,-0.964961,-0.084137,-0.140126,0.205269
1749140453692895744,-0.001401,0.120450,0.186703,-0.971508,-0.080467,-0.136929,0.175918
1749140454326670592,-0.001343,0.097251,0.187919,-0.985295,-0.064521,-0.106857,0.116675
1749140454360027136,-0.001350,0.095090,0.187830,-0.986180,-0.063700,-0.106324,0.109943
1749140458529705984,0.071975,-0.017177,0.231975,0.979449,-0.098425,-0.080352,0.156637
1749140459830643200,0.124494,0.012803,0.249906,0.973403,-0.104483,-0.178788,0.098007
