#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1749145445227719424,0.091019,0.088385,0.329035,0.996205,0.000875,-0.076627,0.041268
1749145445794519040,0.117617,0.089381,0.334301,0.989050,0.003920,-0.145080,0.026768
1749145447628251904,0.144081,0.083182,0.331420,0.984805,0.020234,-0.170323,0.027213
1749145453932136960,0.016069,0.060641,0.319515,0.999600,-0.007899,0.017935,0.020391
1749145457435590400,0.130728,0.068268,0.327364,-0.974113,-0.032364,0.223608,0.007437
1749145464107218432,0.045672,0.084707,0.336749,0.997532,0.068226,-0.005250,0.015764
1749145466208713728,0.063222,0.057640,0.339022,0.917175,0.397156,-0.015835,0.028395
1749145469177476608,0.036504,0.091109,0.333708,-0.998241,0.058018,0.012160,0.000388
1749145474648073984,0.028233,0.092381,0.341833,0.964479,0.259576,-0.048390,0.007722
1749145475081707776,0.039569,0.085455,0.342793,0.947731,0.314037,-0.051902,0.022211
1749145488358863104,0.027346,-0.018543,0.336894,0.985397,0.018547,-0.004116,0.169208
1749145500366603520,0.041518,0.160541,0.325838,-0.990912,-0.010518,0.005382,0.133990
1749145538063155712,0.039203,0.176377,0.368308,0.999624,-0.010653,-0.017179,0.018531
1749145543797874176,0.040072,0.108177,0.276691,0.999886,-0.004397,-0.009637,0.010744
1749145545131568384,0.042416,0.101030,0.262239,0.999859,0.003535,-0.011534,0.011676
1749145555308280320,0.043756,0.107554,0.244098,-0.999792,0.005507,0.019264,0.003925
1749145556208698624,0.038226,0.101547,0.195494,-0.999464,-0.003865,0.002537,0.032409
1749145562845242624,0.002509,0.066064,0.245674,0.995219,0.011741,0.070468,0.066600
1749145571584481792,0.148866,0.136871,0.181044,-0.953254,-0.009574,0.276771,0.120882
1749145571884927488,0.149616,0.117780,0.194406,-0.959004,-0.004514,0.272653,0.077140
1749145573453208320,0.155833,0.033063,0.235258,0.946798,-0.020298,-0.312243,0.075273
1749145574820693760,0.136987,-0.031190,0.232492,0.962174,0.004508,-0.215807,0.166218
1749145584827451904,0.126483,0.117187,0.197091,-0.935832,-0.311340,0.133574,0.097177
1749145585195279360,0.143148,0.118053,0.193077,-0.949788,-0.233514,0.164982,0.127099
1749145586797135872,0.133478,0.137543,0.195423,-0.952950,0.243298,0.109104,0.144185
1749145593467307776,0.014115,0.208525,0.137168,-0.945642,-0.008033,-0.049199,0.321367
1749145593767449344,0.036733,0.212163,0.138346,-0.942027,-0.026882,-0.017669,0.333991
1749145593900844544,0.046468,0.214002,0.139111,-0.939300,-0.024813,0.000412,0.342197
1749145594034238464,0.053150,0.213218,0.139793,-0.937024,-0.024067,0.014239,0.348144
1749145594267674880,0.062688,0.206427,0.141697,-0.938167,-0.019386,0.036555,0.343701
1749145594301022464,0.062536,0.206631,0.141618,-0.937934,-0.017366,0.037820,0.344308
1749145594467760384,0.067033,0.202394,0.142806,-0.941995,-0.018351,0.045851,0.331975
1749145594567801856,0.068341,0.200039,0.143543,-0.943015,-0.017547,0.050221,0.328470
1749145594601148416,0.067764,0.199980,0.143505,-0.942800,-0.016719,0.050729,0.329052
1749145594634497536,0.066996,0.198504,0.144400,-0.943745,-0.017836,0.049544,0.326454
1749145594801241600,0.067005,0.192663,0.147306,-0.947631,-0.011748,0.054858,0.314402
1749145595001332480,0.065475,0.182049,0.151734,-0.952929,-0.003970,0.053963,0.298325
1749145595168072704,0.063475,0.174598,0.157630,-0.958439,-0.007742,0.050121,0.280752
1749145595368158464,0.063964,0.168334,0.166017,-0.965929,-0.006675,0.048714,0.254093
1749145595468200704,0.062246,0.163659,0.170255,-0.968240,-0.005070,0.043177,0.246214
1749145595634938368,0.059053,0.153126,0.180181,-0.976281,-0.006810,0.039390,0.212786
1749145597235684864,0.057779,0.117432,0.319438,-0.990891,0.005517,0.040975,0.128163
1749145602840176384,0.035830,0.019164,0.143729,0.996564,-0.016980,-0.031568,0.074666
1749145605408673536,0.185554,0.077978,0.190985,-0.945326,-0.031335,0.324586,0.004647
1749145605875674624,0.201047,0.096272,0.190434,-0.943612,-0.044719,0.320951,0.067724
1749145614650595584,0.058628,0.053163,0.203715,-0.999016,0.009353,0.008855,0.042445
1749145615851204608,0.132586,0.047626,0.210836,0.989568,0.012147,-0.143473,0.004858
1749145617051787264,0.190317,0.011492,0.216055,0.952773,0.003977,-0.296874,0.063822
1749145618352387584,0.157462,-0.034121,0.235837,0.958413,-0.041206,-0.225933,0.169412
1749145618685871872,0.124698,-0.033053,0.248202,0.972862,-0.048609,-0.151278,0.168199
1749145621086987520,-0.024383,-0.041051,0.268488,0.983400,0.018442,0.089576,0.156719
1749145629761286656,0.059547,0.083495,0.265911,-0.994880,-0.011020,-0.003766,0.100394
1749145641734886912,0.059857,0.099650,0.299383,-0.999759,-0.020109,-0.001492,0.008659
